id,transmit_time,created_date,imei,momsn,message_version,software_version,bridge_voltage,bridge_temperature,bridge_humidity,bridge_pressure,inference_class,inference_accuracy,image_datetime
4361,21/06/2024 05:26,2021-06-24 05:27:03.620568+00:00,300434065263510,39,6,4,3320,22,27,982,Other,0.6235,24/06/2021 06:22
4363,21/06/2024 09:26,2021-06-24 09:26:13.568284+00:00,300434065263510,40,6,4,3341,23,26,985,Other,0.9569,24/06/2021 10:21
4366,21/06/2025 09:56,2021-06-25 09:56:19.889929+00:00,300434065263510,41,6,4,3310,25,27,984,Other,0.9608,25/06/2021 10:54
4369,21/06/2025 18:45,2021-06-25 18:45:44.385609+00:00,300434065263510,42,6,4,3284,25,27,978,Other,0.8,25/06/2021 14:48
4370,21/06/2025 18:45,2021-06-25 18:46:49.146431+00:00,300434065263510,42,6,4,3284,25,27,978,Other,0.8,25/06/2021 14:48
4369,21/06/2025 18:45,2021-06-25 18:45:44.385609+00:00,300434065263510,42,6,4,3284,25,27,978,Elephant_African,0.8941,25/06/2021 19:40
4370,21/06/2025 18:45,2021-06-25 18:46:49.146431+00:00,300434065263510,42,6,4,3284,25,27,978,Elephant_African,0.8941,25/06/2021 19:40
4369,21/06/2025 18:45,2021-06-25 18:45:44.385609+00:00,300434065263510,42,6,4,3284,25,27,978,Elephant_African,0.9137,25/06/2021 19:40
4370,21/06/2025 18:45,2021-06-25 18:46:49.146431+00:00,300434065263510,42,6,4,3284,25,27,978,Elephant_African,0.9137,25/06/2021 19:40
4369,21/06/2025 18:45,2021-06-25 18:45:44.385609+00:00,300434065263510,42,6,4,3284,25,27,978,Elephant_African,0.9216,25/06/2021 19:41
4370,21/06/2025 18:45,2021-06-25 18:46:49.146431+00:00,300434065263510,42,6,4,3284,25,27,978,Elephant_African,0.9216,25/06/2021 19:41
4369,21/06/2025 18:45,2021-06-25 18:45:44.385609+00:00,300434065263510,42,6,4,3284,25,27,978,Elephant_African,0.9176,25/06/2021 19:41
4370,21/06/2025 18:45,2021-06-25 18:46:49.146431+00:00,300434065263510,42,6,4,3284,25,27,978,Elephant_African,0.9176,25/06/2021 19:41
4369,21/06/2025 18:45,2021-06-25 18:45:44.385609+00:00,300434065263510,42,6,4,3284,25,27,978,Elephant_African,0.8588,25/06/2021 19:41
4370,21/06/2025 18:45,2021-06-25 18:46:49.146431+00:00,300434065263510,42,6,4,3284,25,27,978,Elephant_African,0.8588,25/06/2021 19:41
4372,21/06/2026 03:20,2021-06-26 03:20:48.330634+00:00,300434065263510,43,6,4,3292,23,28,979,Other,0.9098,26/06/2021 04:18
4378,21/06/2026 19:55,2021-06-26 19:55:15.079176+00:00,300434065263510,44,6,4,3264,24,28,978,Other,0.9098,26/06/2021 13:38
4382,21/06/2027 16:32,2021-06-27 16:32:53.988658+00:00,300434065263510,45,6,4,3261,25,28,977,Elephant_African,0.9216,26/06/2021 20:47
4382,21/06/2027 16:32,2021-06-27 16:32:53.988658+00:00,300434065263510,45,6,4,3261,25,28,977,Elephant_African,0.851,26/06/2021 20:47
4382,21/06/2027 16:32,2021-06-27 16:32:53.988658+00:00,300434065263510,45,6,4,3261,25,28,977,Elephant_African,0.9137,26/06/2021 20:48
4382,21/06/2027 16:32,2021-06-27 16:32:53.988658+00:00,300434065263510,45,6,4,3261,25,28,977,Elephant_African,0.8627,26/06/2021 20:48
4382,21/06/2027 16:32,2021-06-27 16:32:53.988658+00:00,300434065263510,45,6,4,3261,25,28,977,Elephant_African,0.9137,26/06/2021 20:48
4382,21/06/2027 16:32,2021-06-27 16:32:53.988658+00:00,300434065263510,45,6,4,3261,25,28,977,Elephant_African,0.8745,26/06/2021 20:48
4378,21/06/2026 19:55,2021-06-26 19:55:15.079176+00:00,300434065263510,44,6,4,3264,24,28,978,Elephant_African,0.8235,26/06/2021 20:48
4378,21/06/2026 19:55,2021-06-26 19:55:15.079176+00:00,300434065263510,44,6,4,3264,24,28,978,Elephant_African,0.6627,26/06/2021 20:49
4378,21/06/2026 19:55,2021-06-26 19:55:15.079176+00:00,300434065263510,44,6,4,3264,24,28,978,Elephant_African,0.8863,26/06/2021 20:49
4378,21/06/2026 19:55,2021-06-26 19:55:15.079176+00:00,300434065263510,44,6,4,3264,24,28,978,Elephant_African,0.9216,26/06/2021 20:49
